snp	trait	gene	eqtl_type	chromq	posq	rsidq	chromt	post	rsidt	corr	dprime
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229443	rs9264402	6	31232110	rs3130542	0.950918	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229592	rs9264405	6	31232110	rs3130542	0.984067	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229609	rs9264406	6	31232110	rs3130542	0.984067	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229668	rs9264407	6	31232110	rs3130542	0.984067	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229722	rs9264408	6	31232110	rs3130542	0.896182	0.896182
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229737	rs9264409	6	31232110	rs3130542	0.984067	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229774	rs9264410	6	31232110	rs3130542	0.984067	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229844	rs9264411	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229920	rs9264412	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229929	rs9264413	6	31232110	rs3130542	0.944314	0.992955
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229941	rs9264414	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230077	rs9264417	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230173	rs9264420	6	31232110	rs3130542	0.987002	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230179	rs9264421	6	31232110	rs3130542	0.952252	0.973821
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230182	rs9264422	6	31232110	rs3130542	0.949226	0.973788
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230317	rs9264425	6	31232110	rs3130542	0.968689	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230318	rs9264426	6	31232110	rs3130542	0.968689	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230355	rs9264427	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230451	rs9264428	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230497	rs9264429	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231018	rs9264440	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231067	rs9264441	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231104	rs9264443	6	31232110	rs3130542	0.934246	0.972296
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231113	rs9264445	6	31232110	rs3130542	0.956762	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231116	rs9264446	6	31232110	rs3130542	0.987208	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231141	rs9264448	6	31232110	rs3130542	0.993558	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231198	rs9264451	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231231	rs9264452	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231233	rs9264453	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231331	rs9264454	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231381	rs9264455	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231500	rs9264458	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231533	rs9264459	6	31232110	rs3130542	0.990372	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231537	rs9264460	6	31232110	rs3130542	0.956762	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231574	rs9264462	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231590	rs9264463	6	31232110	rs3130542	0.962685	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231621	rs9264464	6	31232110	rs3130542	0.996759	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231687	rs9264466	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231971	rs9264474	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232317	rs9264481	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232411	rs9264482	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232445	rs9264483	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232562	rs9264489	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232675	rs9264492	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232696	rs9264493	6	31232110	rs3130542	0.962325	0.993431
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232702	rs9264494	6	31232110	rs3130542	0.996754	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232721	rs9264495	6	31232110	rs3130542	0.962325	0.993431
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232722	rs9264496	6	31232110	rs3130542	0.962325	0.993431
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232768	rs9264497	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232788	rs9264498	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232824	rs9264500	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232912	rs9264502	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233120	rs9264505	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233142	rs9264506	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233151	rs9264507	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233213	rs9264508	6	31232110	rs3130542	1.0	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31231515	rs9281291	6	31232110	rs3130542	0.993558	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31232336	rs9281293	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229728	rs147219155	6	31232110	rs3130542	0.980899	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230758	rs2394951	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230881	rs2394952	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233352	rs2394953	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233394	rs2394954	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233395	rs2394955	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233455	rs2394956	6	31232110	rs3130542	0.996754	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233520	rs2394957	6	31232110	rs3130542	0.990255	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230989	rs2894198	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233269	rs2894202	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31233531	rs2894203	6	31232110	rs3130542	0.955613	0.980341
rs3130542	Hepatitis B	HLA-C	spatial	6	31231808	rs3130445	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229040	rs3130541	6	31232110	rs3130542	0.944129	0.986796
rs3130542	Hepatitis B	HLA-C	spatial			rs3130542			rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31232146	rs3130543	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228867	rs3132493	6	31232110	rs3130542	0.950918	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231717	rs4365966	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230650	rs4995901	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230644	rs4995902	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230604	rs4995903	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231967	rs61233306	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31232342	rs66624704	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227120	rs9264322	6	31232110	rs3130542	0.984026	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227141	rs9264323	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227145	rs9264324	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227150	rs9264325	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227190	rs9264326	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227218	rs9264327	6	31232110	rs3130542	0.945152	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227249	rs9264328	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227253	rs9264329	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227262	rs9264330	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227456	rs9264333	6	31232110	rs3130542	0.94122	0.98678
rs3130542	Hepatitis B	HLA-C	spatial	6	31227474	rs9264334	6	31232110	rs3130542	0.974334	0.986959
rs3130542	Hepatitis B	HLA-C	spatial	6	31227493	rs9264335	6	31232110	rs3130542	0.94122	0.98678
rs3130542	Hepatitis B	HLA-C	spatial	6	31227505	rs9264337	6	31232110	rs3130542	0.94122	0.98678
rs3130542	Hepatitis B	HLA-C	spatial	6	31227576	rs9264338	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227587	rs9264339	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227712	rs9264341	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227736	rs9264342	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227751	rs9264343	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31227786	rs9264344	6	31232110	rs3130542	0.984026	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228039	rs9264346	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228086	rs9264351	6	31232110	rs3130542	0.980771	0.993479
rs3130542	Hepatitis B	HLA-C	spatial	6	31228103	rs9264352	6	31232110	rs3130542	0.980771	0.993479
rs3130542	Hepatitis B	HLA-C	spatial	6	31228173	rs9264353	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228184	rs9264354	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228211	rs9264356	6	31232110	rs3130542	0.95383	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228266	rs9264358	6	31232110	rs3130542	0.95383	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228326	rs9264362	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228385	rs9264364	6	31232110	rs3130542	0.980771	0.993479
rs3130542	Hepatitis B	HLA-C	spatial	6	31228398	rs9264365	6	31232110	rs3130542	0.980771	0.993479
rs3130542	Hepatitis B	HLA-C	spatial	6	31228429	rs9264367	6	31232110	rs3130542	0.950918	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228459	rs9264368	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228600	rs9264372	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228665	rs9264374	6	31232110	rs3130542	0.95383	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31228706	rs9264375	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229050	rs9264383	6	31232110	rs3130542	0.938331	0.986763
rs3130542	Hepatitis B	HLA-C	spatial	6	31229054	rs9264384	6	31232110	rs3130542	0.977472	0.986975
rs3130542	Hepatitis B	HLA-C	spatial	6	31229129	rs9264386	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229172	rs9264387	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229187	rs9264388	6	31232110	rs3130542	0.980948	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229190	rs9264389	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229195	rs9264390	6	31232110	rs3130542	0.948025	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229288	rs9264395	6	31232110	rs3130542	0.944625	0.993382
rs3130542	Hepatitis B	HLA-C	spatial	6	31229365	rs9264397	6	31232110	rs3130542	0.945152	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229376	rs9264398	6	31232110	rs3130542	0.950918	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229412	rs9264400	6	31232110	rs3130542	0.930942	0.965563
rs3130542	Hepatitis B	HLA-C	spatial	6	31229443	rs9264402	6	31232110	rs3130542	0.950918	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229592	rs9264405	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229609	rs9264406	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229668	rs9264407	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229722	rs9264408	6	31232110	rs3130542	0.896182	0.896182
rs3130542	Hepatitis B	HLA-C	spatial	6	31229737	rs9264409	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229774	rs9264410	6	31232110	rs3130542	0.984067	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229844	rs9264411	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229920	rs9264412	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31229929	rs9264413	6	31232110	rs3130542	0.944314	0.992955
rs3130542	Hepatitis B	HLA-C	spatial	6	31229941	rs9264414	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230077	rs9264417	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230173	rs9264420	6	31232110	rs3130542	0.987002	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230179	rs9264421	6	31232110	rs3130542	0.952252	0.973821
rs3130542	Hepatitis B	HLA-C	spatial	6	31230182	rs9264422	6	31232110	rs3130542	0.949226	0.973788
rs3130542	Hepatitis B	HLA-C	spatial	6	31230317	rs9264425	6	31232110	rs3130542	0.968689	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230318	rs9264426	6	31232110	rs3130542	0.968689	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230355	rs9264427	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230451	rs9264428	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31230497	rs9264429	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231018	rs9264440	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231067	rs9264441	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231104	rs9264443	6	31232110	rs3130542	0.934246	0.972296
rs3130542	Hepatitis B	HLA-C	spatial	6	31231113	rs9264445	6	31232110	rs3130542	0.956762	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231116	rs9264446	6	31232110	rs3130542	0.987208	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231141	rs9264448	6	31232110	rs3130542	0.993558	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231198	rs9264451	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231231	rs9264452	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231233	rs9264453	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231331	rs9264454	6	31232110	rs3130542	1.0	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231381	rs9264455	6	31232110	rs3130542	0.965676	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231500	rs9264458	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231533	rs9264459	6	31232110	rs3130542	0.990372	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231537	rs9264460	6	31232110	rs3130542	0.956762	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231574	rs9264462	6	31232110	rs3130542	0.996767	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231590	rs9264463	6	31232110	rs3130542	0.962685	1.0
rs3130542	Hepatitis B	HLA-C	spatial	6	31231621	rs9264464	6	31232110	rs3130542	0.996759	1.0
